exposure_id,exposure_ts,group,device,converted,revenue
66,2024-05-20 08:18:06,treatment,Desktop,1,106.43
67,2024-09-06 13:29:03,control,Desktop,0,0.0
68,2024-05-17 10:21:46,control,Tablet,0,0.0
69,2025-02-28 08:21:08,treatment,Desktop,0,0.0
70,2025-08-14 23:00:07,treatment,Mobile,0,0.0
71,2024-06-13 10:59:32,treatment,Tablet,0,0.0
72,2024-06-16 03:17:42,control,Desktop,0,0.0
73,2025-07-07 18:50:42,control,Desktop,0,0.0
74,2025-07-30 15:03:08,treatment,Desktop,0,0.0
75,2024-05-03 10:57:36,treatment,Desktop,0,0.0
76,2024-04-28 05:50:12,treatment,Mobile,1,161.31
77,2025-03-03 04:24:39,treatment,Desktop,0,0.0
78,2024-06-19 21:28:49,treatment,Desktop,0,0.0
79,2025-01-05 18:41:05,control,Desktop,0,0.0
80,2024-04-26 11:44:47,control,Desktop,0,0.0
81,2024-09-04 04:06:37,control,Mobile,0,0.0
82,2025-06-02 20:59:06,control,Desktop,0,0.0
83,2024-07-23 01:04:58,treatment,Tablet,0,0.0
84,2024-08-09 12:29:43,control,Mobile,0,0.0
85,2024-12-08 00:23:09,control,Desktop,0,0.0
86,2024-10-03 18:10:21,treatment,Mobile,0,0.0
87,2024-04-24 01:52:44,control,Desktop,0,0.0
88,2025-03-17 12:40:27,control,Desktop,0,0.0
89,2025-08-19 15:54:37,control,Desktop,0,0.0
90,2024-05-17 22:05:47,treatment,Desktop,0,0.0
91,2025-04-24 16:00:36,treatment,Desktop,0,0.0
92,2024-06-22 14:07:33,treatment,Tablet,0,0.0
93,2024-10-17 04:39:06,treatment,Desktop,1,100.27
94,2025-04-26 05:37:00,treatment,Desktop,0,0.0
95,2025-02-26 16:42:04,control,Desktop,1,137.78
96,2024-05-18 08:24:22,control,Desktop,0,0.0
97,2025-08-22 06:26:19,treatment,Mobile,0,0.0
98,2025-08-24 23:47:05,treatment,Desktop,0,0.0
99,2025-05-29 14:59:51,treatment,Mobile,0,0.0
100,2025-01-13 11:46:48,treatment,Mobile,0,0.0
101,2024-11-13 18:06:44,control,Mobile,0,0.0
102,2024-09-04 06:05:21,control,Desktop,0,0.0
103,2025-03-03 10:27:21,treatment,Desktop,0,0.0
104,2024-08-03 19:16:36,treatment,Mobile,0,0.0
105,2025-07-29 14:52:21,treatment,Desktop,0,0.0
106,2024-09-23 10:16:04,control,Mobile,0,0.0
107,2024-07-17 10:52:37,control,Mobile,1,41.75
108,2025-07-27 03:40:39,control,Desktop,0,0.0
109,2024-09-30 12:11:58,treatment,Desktop,0,0.0
110,2024-06-15 18:55:52,control,Mobile,0,0.0
111,2025-09-16 12:44:08,control,Desktop,0,0.0
112,2024-06-27 06:17:17,control,Desktop,0,0.0
113,2025-06-02 03:07:21,treatment,Mobile,0,0.0
114,2025-04-21 01:44:49,treatment,Mobile,0,0.0
115,2025-03-28 16:34:22,treatment,Mobile,0,0.0
116,2024-10-26 09:27:29,control,Mobile,0,0.0
117,2024-10-24 06:52:02,treatment,Mobile,0,0.0
118,2024-12-10 20:39:06,treatment,Desktop,0,0.0
119,2024-09-20 15:01:35,control,Desktop,0,0.0
120,2024-05-13 21:18:45,control,Mobile,0,0.0
121,2025-02-10 22:35:36,treatment,Desktop,1,160.61
122,2025-06-15 03:38:45,control,Mobile,0,0.0
123,2024-11-11 22:32:35,control,Tablet,0,0.0
124,2025-05-23 04:38:38,treatment,Desktop,0,0.0
125,2024-10-22 23:52:58,control,Desktop,0,0.0
126,2025-08-26 12:42:28,control,Desktop,0,0.0
127,2025-03-23 00:47:01,treatment,Mobile,0,0.0
128,2025-06-27 17:40:51,control,Mobile,0,0.0
129,2025-02-20 21:55:16,control,Desktop,0,0.0
130,2024-10-13 01:39:54,treatment,Desktop,0,0.0
131,2024-12-12 03:27:58,control,Desktop,0,0.0
132,2025-02-15 10:32:16,treatment,Desktop,0,0.0
133,2025-05-17 23:29:59,control,Desktop,1,17.75
134,2024-10-03 01:41:41,control,Mobile,0,0.0
135,2024-09-26 06:48:00,control,Mobile,0,0.0
136,2024-09-10 07:09:12,control,Desktop,0,0.0
137,2024-08-02 07:48:58,treatment,Mobile,0,0.0
138,2024-07-30 04:48:57,control,Mobile,0,0.0
139,2024-11-22 07:18:16,control,Desktop,0,0.0
140,2024-08-26 01:08:06,treatment,Desktop,0,0.0
141,2024-11-14 05:54:31,control,Desktop,0,0.0
142,2025-06-07 13:44:50,control,Mobile,0,0.0
143,2025-08-20 19:39:05,treatment,Desktop,0,0.0
144,2025-02-14 06:27:44,treatment,Desktop,0,0.0
145,2024-12-31 07:40:27,control,Desktop,0,0.0
146,2025-02-26 06:04:07,treatment,Mobile,0,0.0
147,2025-05-17 00:16:12,treatment,Mobile,0,0.0
148,2025-06-28 04:31:38,treatment,Desktop,0,0.0
149,2024-05-31 07:30:48,control,Mobile,0,0.0
150,2025-03-20 22:47:37,treatment,Desktop,0,0.0
151,2025-04-12 22:32:27,treatment,Desktop,0,0.0
152,2024-12-25 14:25:00,control,Desktop,0,0.0
153,2025-07-01 01:08:05,treatment,Desktop,0,0.0
154,2025-04-30 06:37:47,treatment,Desktop,0,0.0
155,2025-02-03 16:22:09,control,Desktop,0,0.0
156,2025-08-08 16:30:09,control,Mobile,0,0.0
157,2024-06-05 06:38:24,treatment,Mobile,0,0.0
158,2024-11-17 20:05:38,treatment,Mobile,0,0.0
159,2025-05-11 09:06:07,treatment,Desktop,0,0.0
160,2025-03-12 10:25:29,treatment,Desktop,0,0.0
161,2024-08-21 14:01:53,treatment,Desktop,0,0.0
162,2025-04-05 02:06:57,control,Desktop,0,0.0
163,2024-08-22 18:36:50,treatment,Tablet,0,0.0
164,2024-04-04 23:44:40,treatment,Desktop,0,0.0
165,2024-05-06 08:26:19,control,Desktop,0,0.0
166,2025-04-10 06:38:31,control,Mobile,0,0.0
167,2025-03-24 14:11:35,control,Desktop,0,0.0
168,2024-05-03 21:43:53,treatment,Desktop,0,0.0
169,2024-05-14 18:05:23,treatment,Desktop,0,0.0
170,2025-09-09 04:22:28,control,Desktop,1,29.28
171,2024-10-03 18:36:53,treatment,Desktop,0,0.0
172,2025-07-18 08:09:13,treatment,Mobile,0,0.0
173,2025-03-03 20:55:03,treatment,Desktop,0,0.0
174,2025-07-20 08:47:18,treatment,Desktop,1,157.0
175,2024-07-24 23:45:23,treatment,Mobile,0,0.0
176,2025-02-05 07:19:10,control,Desktop,0,0.0
177,2024-09-20 19:01:47,treatment,Desktop,0,0.0
178,2025-03-12 15:45:26,treatment,Mobile,0,0.0
179,2025-07-23 11:55:32,control,Mobile,0,0.0
180,2025-05-21 23:22:42,control,Desktop,0,0.0
181,2024-07-13 11:28:35,control,Mobile,0,0.0
182,2025-06-30 04:25:29,control,Mobile,0,0.0
183,2025-03-24 01:09:48,treatment,Desktop,0,0.0
184,2025-04-17 17:28:39,treatment,Tablet,0,0.0
185,2024-04-24 23:03:31,treatment,Desktop,0,0.0
186,2024-04-14 02:09:23,treatment,Mobile,0,0.0
187,2025-08-29 04:14:13,control,Tablet,0,0.0
188,2024-08-08 01:47:30,control,Mobile,0,0.0
189,2024-08-12 23:12:10,treatment,Mobile,0,0.0
190,2025-04-10 22:25:59,treatment,Mobile,0,0.0
191,2024-12-08 21:19:07,treatment,Desktop,0,0.0
192,2024-12-06 03:59:09,control,Mobile,0,0.0
193,2025-01-30 00:58:15,treatment,Desktop,0,0.0
194,2024-11-24 07:01:29,control,Desktop,0,0.0
195,2025-02-01 22:22:08,control,Tablet,0,0.0
196,2025-05-20 10:40:39,control,Mobile,0,0.0
197,2024-12-31 00:03:21,control,Desktop,0,0.0
198,2024-05-04 02:06:47,treatment,Mobile,0,0.0
199,2025-02-28 07:04:33,control,Mobile,0,0.0
200,2025-07-27 08:27:59,treatment,Desktop,0,0.0
201,2024-11-21 08:48:08,control,Mobile,0,0.0
202,2024-06-21 03:04:06,treatment,Desktop,0,0.0
203,2024-07-22 14:13:47,control,Mobile,0,0.0
204,2024-10-23 09:00:34,treatment,Desktop,0,0.0
205,2024-09-30 07:28:24,treatment,Tablet,0,0.0
206,2025-07-03 13:12:29,control,Desktop,0,0.0
207,2024-10-25 13:37:29,control,Mobile,0,0.0
208,2025-04-23 08:54:58,treatment,Desktop,0,0.0
209,2024-11-11 21:29:03,control,Desktop,0,0.0
210,2025-03-06 20:14:48,treatment,Mobile,0,0.0
211,2025-05-21 02:16:14,treatment,Desktop,0,0.0
212,2024-09-26 11:39:28,treatment,Mobile,0,0.0
213,2025-02-07 01:24:10,control,Mobile,1,148.43
214,2025-08-22 12:03:23,treatment,Desktop,0,0.0
215,2024-04-22 18:05:44,control,Desktop,0,0.0
216,2025-03-01 23:54:09,treatment,Mobile,0,0.0
217,2024-07-14 23:15:06,treatment,Desktop,0,0.0
218,2024-10-16 20:22:57,control,Desktop,0,0.0
219,2024-12-05 04:54:23,treatment,Mobile,0,0.0
220,2025-07-24 20:23:00,treatment,Tablet,0,0.0
221,2024-04-21 21:12:27,treatment,Mobile,0,0.0
222,2024-11-03 05:07:58,control,Mobile,0,0.0
223,2024-06-09 11:06:46,control,Desktop,0,0.0
224,2025-09-15 01:07:09,control,Desktop,0,0.0
225,2024-05-07 14:08:17,control,Desktop,0,0.0
226,2024-09-30 16:10:12,treatment,Desktop,0,0.0
227,2024-05-25 08:04:36,control,Desktop,0,0.0
228,2024-09-28 01:23:33,treatment,Mobile,0,0.0
229,2025-08-02 11:24:15,control,Desktop,0,0.0
230,2025-03-21 08:56:57,treatment,Mobile,0,0.0
231,2024-12-18 09:48:36,control,Desktop,0,0.0
232,2025-02-17 13:41:30,treatment,Mobile,0,0.0
233,2024-08-26 17:40:26,treatment,Mobile,0,0.0
234,2025-01-15 05:08:44,treatment,Desktop,0,0.0
235,2024-11-09 07:30:00,treatment,Tablet,1,4.98
236,2025-04-14 19:40:03,control,Mobile,0,0.0
237,2024-09-19 17:43:03,treatment,Mobile,0,0.0
238,2024-08-19 16:19:01,treatment,Desktop,0,0.0
239,2025-07-25 08:40:00,control,Mobile,0,0.0
240,2024-04-19 21:57:35,treatment,Mobile,0,0.0
241,2024-11-09 05:15:27,control,Desktop,0,0.0
242,2024-07-05 15:38:13,treatment,Desktop,0,0.0
243,2024-10-22 16:16:40,treatment,Desktop,0,0.0
244,2025-04-03 06:17:40,treatment,Mobile,0,0.0
245,2024-12-13 02:06:35,treatment,Mobile,0,0.0
246,2024-07-12 07:54:03,treatment,Tablet,0,0.0
247,2025-08-30 19:50:35,control,Mobile,0,0.0
248,2025-01-25 11:24:10,treatment,Desktop,1,87.06
249,2025-08-02 23:25:15,treatment,Mobile,0,0.0
250,2025-03-26 04:57:57,control,Mobile,1,16.87
251,2024-06-23 14:59:49,treatment,Mobile,0,0.0
252,2025-04-11 15:11:18,control,Desktop,0,0.0
253,2024-07-08 08:57:40,control,Mobile,0,0.0
254,2025-09-16 23:24:09,treatment,Mobile,0,0.0
255,2024-07-23 00:30:56,treatment,Mobile,0,0.0
256,2025-07-16 04:35:20,control,Mobile,0,0.0
257,2025-01-06 19:10:44,treatment,Desktop,0,0.0
258,2024-12-31 16:57:28,treatment,Tablet,0,0.0
259,2025-08-07 20:26:34,treatment,Desktop,0,0.0
260,2024-06-27 21:13:19,treatment,Desktop,0,0.0
261,2024-09-05 17:56:20,treatment,Desktop,0,0.0
262,2024-12-09 01:03:40,control,Desktop,0,0.0
263,2024-08-31 09:18:33,control,Mobile,0,0.0
264,2024-09-21 23:24:36,control,Mobile,0,0.0
265,2025-06-30 21:54:10,control,Mobile,1,26.69
266,2024-04-14 00:34:36,control,Desktop,0,0.0
267,2024-09-25 19:21:59,treatment,Mobile,0,0.0
268,2024-05-04 16:47:18,control,Desktop,0,0.0
269,2024-05-13 08:48:27,treatment,Desktop,0,0.0
270,2024-06-17 16:54:50,treatment,Desktop,0,0.0
271,2024-04-27 16:22:58,control,Tablet,0,0.0
272,2024-04-18 04:41:24,treatment,Desktop,1,76.21
273,2025-03-04 12:36:04,control,Desktop,0,0.0
274,2024-07-18 05:08:34,control,Desktop,0,0.0
275,2025-06-22 15:59:19,treatment,Mobile,0,0.0
276,2025-07-02 00:11:28,treatment,Desktop,0,0.0
277,2025-02-22 03:29:48,treatment,Desktop,0,0.0
278,2025-08-12 13:57:57,control,Mobile,0,0.0
279,2024-09-18 11:25:44,control,Desktop,0,0.0
280,2024-06-06 20:31:42,treatment,Desktop,0,0.0
281,2025-01-09 17:28:36,treatment,Mobile,0,0.0
282,2024-05-30 07:18:25,treatment,Desktop,0,0.0
283,2025-01-08 10:38:27,control,Mobile,0,0.0
284,2025-06-04 04:43:46,control,Mobile,0,0.0
285,2025-08-23 18:50:46,control,Desktop,0,0.0
286,2024-05-03 23:01:27,treatment,Mobile,0,0.0
287,2025-06-16 21:10:55,treatment,Desktop,0,0.0
288,2024-09-15 04:13:38,control,Mobile,0,0.0
289,2025-01-04 11:50:04,treatment,Mobile,0,0.0
290,2025-02-21 07:14:06,treatment,Desktop,0,0.0
291,2025-08-17 22:51:46,control,Mobile,0,0.0
292,2024-10-23 06:07:45,treatment,Desktop,0,0.0
293,2024-12-22 15:33:03,treatment,Mobile,1,63.42
294,2025-05-11 00:54:50,control,Desktop,0,0.0
295,2024-07-25 06:19:17,treatment,Desktop,0,0.0
296,2025-06-08 20:42:38,treatment,Mobile,0,0.0
297,2025-07-17 21:20:18,control,Desktop,1,19.77
298,2025-03-03 08:18:03,treatment,Desktop,0,0.0
299,2024-06-21 09:42:43,control,Mobile,0,0.0
300,2025-09-02 23:54:01,control,Desktop,0,0.0
301,2025-01-26 00:14:37,treatment,Desktop,0,0.0
302,2024-11-14 02:51:50,control,Desktop,0,0.0
303,2024-11-04 19:41:08,control,Mobile,0,0.0
304,2025-02-22 11:59:28,control,Desktop,0,0.0
305,2024-09-19 17:34:28,treatment,Desktop,0,0.0
306,2024-04-26 20:34:16,treatment,Desktop,0,0.0
307,2024-11-23 03:52:23,treatment,Mobile,0,0.0
308,2025-02-12 10:22:47,treatment,Mobile,0,0.0
309,2024-12-02 06:07:03,treatment,Desktop,0,0.0
310,2024-12-31 01:25:23,treatment,Mobile,0,0.0
311,2025-06-25 09:21:23,control,Desktop,0,0.0
312,2024-11-20 23:56:13,control,Desktop,0,0.0
313,2024-08-02 14:13:15,control,Desktop,0,0.0
314,2024-08-22 14:37:37,control,Desktop,0,0.0
315,2025-08-08 07:55:44,treatment,Desktop,0,0.0
316,2024-10-09 19:35:36,control,Desktop,0,0.0
317,2025-08-16 03:34:25,control,Mobile,0,0.0
318,2025-06-05 20:47:27,treatment,Desktop,0,0.0
319,2025-06-06 10:53:22,treatment,Mobile,0,0.0
320,2025-07-25 04:10:47,treatment,Mobile,0,0.0
321,2025-03-03 11:21:20,treatment,Desktop,0,0.0
322,2024-12-23 08:40:42,treatment,Mobile,0,0.0
323,2024-04-23 05:02:59,treatment,Desktop,1,232.93
324,2025-05-29 13:12:21,treatment,Desktop,0,0.0
325,2025-06-12 00:27:10,control,Desktop,0,0.0
326,2025-04-18 10:09:50,treatment,Mobile,0,0.0
327,2024-12-16 18:08:38,control,Desktop,0,0.0
328,2024-08-06 00:43:52,control,Desktop,1,133.26
329,2024-10-30 17:31:06,control,Desktop,0,0.0
330,2024-05-04 16:09:50,treatment,Mobile,0,0.0
331,2024-06-06 09:43:06,treatment,Desktop,0,0.0
332,2025-08-16 23:14:29,treatment,Desktop,0,0.0
333,2025-06-20 15:03:06,control,Desktop,0,0.0
334,2025-08-16 13:44:46,treatment,Desktop,0,0.0
335,2024-05-29 19:16:36,treatment,Desktop,0,0.0
336,2024-12-05 03:14:48,treatment,Mobile,0,0.0
337,2025-02-16 20:52:00,control,Mobile,0,0.0
338,2024-08-12 00:20:39,control,Desktop,0,0.0
339,2025-04-06 16:44:49,treatment,Tablet,0,0.0
340,2024-11-09 17:57:51,control,Desktop,0,0.0
341,2025-05-18 06:03:22,control,Desktop,0,0.0
342,2025-07-18 00:56:29,control,Mobile,0,0.0
343,2024-08-12 11:12:47,treatment,Desktop,0,0.0
344,2024-04-27 22:29:09,control,Mobile,0,0.0
345,2025-07-12 06:19:25,control,Tablet,0,0.0
346,2024-09-26 18:25:26,treatment,Desktop,0,0.0
347,2024-08-22 16:43:25,treatment,Mobile,0,0.0
348,2024-10-29 20:36:20,treatment,Desktop,0,0.0
349,2024-08-27 02:38:07,treatment,Tablet,0,0.0
350,2024-05-04 12:42:07,control,Mobile,0,0.0
351,2024-06-12 16:24:40,treatment,Desktop,0,0.0
352,2024-07-27 12:26:18,control,Desktop,0,0.0
353,2024-06-04 05:39:53,control,Mobile,0,0.0
354,2024-12-21 12:44:17,control,Mobile,0,0.0
355,2025-04-18 22:05:27,treatment,Desktop,0,0.0
356,2025-01-10 04:52:43,treatment,Tablet,0,0.0
357,2025-08-11 20:08:43,treatment,Tablet,0,0.0
358,2024-11-02 19:49:10,control,Desktop,0,0.0
359,2024-07-10 19:16:59,treatment,Mobile,0,0.0
360,2024-03-29 01:53:21,treatment,Desktop,0,0.0
361,2024-07-19 03:14:51,control,Desktop,0,0.0
362,2024-11-03 18:36:09,treatment,Desktop,0,0.0
363,2025-02-14 02:06:55,control,Desktop,0,0.0
364,2025-04-17 05:29:31,treatment,Desktop,0,0.0
365,2025-06-14 15:39:41,control,Mobile,0,0.0
366,2024-03-26 05:09:40,control,Desktop,0,0.0
367,2024-08-17 11:47:03,control,Desktop,0,0.0
368,2024-12-30 02:08:28,control,Desktop,0,0.0
369,2025-03-25 03:57:11,control,Desktop,1,61.33
370,2024-05-16 11:24:05,control,Desktop,0,0.0
371,2024-12-08 06:35:46,control,Mobile,0,0.0
372,2025-08-06 06:34:43,treatment,Desktop,0,0.0
373,2025-03-31 16:28:03,treatment,Tablet,0,0.0
374,2025-03-15 11:45:56,control,Desktop,1,36.14
375,2024-11-20 20:14:00,control,Desktop,0,0.0
376,2025-08-09 11:05:57,treatment,Desktop,0,0.0
377,2024-05-01 03:07:54,treatment,Mobile,0,0.0
378,2025-01-04 20:22:28,treatment,Desktop,0,0.0
379,2025-01-19 07:34:51,treatment,Mobile,0,0.0
380,2025-04-15 10:30:29,control,Desktop,0,0.0
381,2025-02-17 17:14:50,treatment,Mobile,0,0.0
382,2024-11-29 11:48:54,control,Desktop,0,0.0
383,2024-11-18 01:29:48,treatment,Mobile,0,0.0
384,2025-03-04 19:03:07,treatment,Desktop,0,0.0
385,2024-12-23 20:10:54,control,Mobile,0,0.0
386,2024-05-08 13:13:54,treatment,Desktop,0,0.0
387,2025-09-03 17:07:54,treatment,Desktop,0,0.0
388,2025-07-09 21:58:47,control,Desktop,0,0.0
389,2024-05-16 05:19:14,treatment,Desktop,0,0.0
390,2025-06-08 14:12:23,treatment,Desktop,1,29.84
391,2024-05-23 17:14:53,treatment,Desktop,0,0.0
392,2025-08-11 12:41:23,treatment,Desktop,0,0.0
393,2024-08-16 12:11:13,control,Desktop,0,0.0
394,2024-06-24 11:13:26,treatment,Mobile,0,0.0
395,2024-09-07 15:52:57,treatment,Mobile,0,0.0
396,2025-04-10 12:38:07,treatment,Mobile,0,0.0
397,2025-03-11 02:41:11,control,Mobile,0,0.0
398,2025-09-05 16:04:57,treatment,Tablet,0,0.0
399,2024-05-14 10:33:07,treatment,Mobile,0,0.0
400,2024-07-25 08:06:38,treatment,Mobile,0,0.0
401,2025-04-24 03:53:40,control,Mobile,0,0.0
402,2024-09-24 21:04:56,control,Mobile,0,0.0
403,2025-06-12 12:01:26,control,Desktop,0,0.0
404,2024-05-30 23:10:23,control,Mobile,0,0.0
405,2025-03-31 18:57:51,treatment,Tablet,0,0.0
406,2024-05-21 06:48:46,treatment,Mobile,0,0.0
407,2025-03-09 12:07:57,treatment,Mobile,0,0.0
408,2025-05-27 05:02:27,treatment,Desktop,0,0.0
409,2024-07-03 05:20:55,control,Mobile,0,0.0
410,2025-05-01 10:07:25,control,Mobile,0,0.0
411,2024-09-16 03:04:14,control,Desktop,0,0.0
412,2024-10-05 15:37:17,treatment,Mobile,0,0.0
413,2024-11-15 05:03:35,treatment,Desktop,0,0.0
414,2024-08-02 23:36:03,control,Desktop,0,0.0
415,2025-07-23 01:08:08,control,Desktop,0,0.0
416,2025-06-05 18:36:06,treatment,Mobile,1,44.35
417,2024-04-17 12:34:12,treatment,Mobile,0,0.0
418,2024-11-14 15:26:32,treatment,Mobile,0,0.0
419,2024-05-20 16:18:56,treatment,Desktop,0,0.0
420,2025-04-05 03:05:43,control,Desktop,0,0.0
421,2024-11-22 18:57:36,treatment,Mobile,0,0.0
422,2024-12-18 06:10:25,treatment,Mobile,0,0.0
423,2025-04-28 23:55:31,control,Mobile,0,0.0
424,2024-06-28 03:58:26,treatment,Desktop,0,0.0
425,2024-05-03 07:21:03,control,Desktop,0,0.0
426,2025-02-12 18:35:47,treatment,Mobile,0,0.0
427,2025-06-16 16:52:00,control,Mobile,0,0.0
428,2025-04-16 00:20:34,control,Mobile,0,0.0
429,2024-11-19 15:36:41,treatment,Desktop,0,0.0
430,2025-04-21 14:10:03,control,Tablet,0,0.0
431,2024-12-24 02:26:28,control,Desktop,1,46.55
432,2024-03-31 08:26:16,treatment,Desktop,0,0.0
433,2024-10-16 10:07:55,treatment,Desktop,0,0.0
434,2025-01-30 03:22:57,treatment,Desktop,1,92.34
435,2025-04-20 16:00:15,treatment,Desktop,0,0.0
436,2025-07-22 02:03:54,treatment,Mobile,0,0.0
437,2024-06-08 02:16:24,control,Desktop,0,0.0
438,2025-01-02 23:23:48,treatment,Desktop,0,0.0
439,2025-01-30 18:23:51,control,Mobile,0,0.0
440,2024-12-08 16:19:43,control,Desktop,0,0.0
441,2025-04-29 09:43:24,treatment,Desktop,0,0.0
442,2025-07-16 20:24:07,treatment,Desktop,0,0.0
443,2025-04-23 01:02:12,treatment,Mobile,0,0.0
444,2024-11-12 20:30:04,treatment,Mobile,0,0.0
445,2025-08-30 08:39:41,control,Desktop,0,0.0
446,2025-09-10 10:03:47,treatment,Mobile,0,0.0
447,2025-08-16 05:06:05,treatment,Desktop,0,0.0
448,2025-06-21 05:39:44,control,Mobile,0,0.0
449,2025-09-04 17:40:08,treatment,Desktop,0,0.0
450,2025-03-02 13:33:17,control,Desktop,0,0.0
451,2024-08-30 08:48:59,control,Desktop,0,0.0
452,2024-05-12 09:00:26,treatment,Mobile,0,0.0
453,2025-08-21 08:48:08,control,Desktop,0,0.0
454,2024-08-06 12:21:15,treatment,Desktop,0,0.0
455,2025-08-31 23:06:12,treatment,Desktop,0,0.0
456,2024-08-21 08:03:49,treatment,Mobile,0,0.0
457,2024-09-15 15:49:31,treatment,Desktop,0,0.0
458,2024-09-01 23:56:17,treatment,Mobile,0,0.0
459,2024-12-20 22:09:44,treatment,Desktop,0,0.0
460,2025-06-13 10:22:56,treatment,Desktop,0,0.0
461,2025-01-25 10:37:04,treatment,Mobile,0,0.0
462,2024-11-03 09:49:05,control,Desktop,0,0.0
463,2025-03-03 14:29:18,control,Desktop,0,0.0
464,2025-05-17 07:49:12,treatment,Desktop,0,0.0
465,2025-07-16 05:03:06,treatment,Desktop,0,0.0
466,2025-08-27 06:36:36,control,Desktop,0,0.0
467,2024-05-04 18:30:18,control,Mobile,0,0.0
468,2024-06-11 02:17:34,treatment,Mobile,0,0.0
469,2025-05-26 11:18:55,control,Desktop,0,0.0
470,2025-03-29 11:41:02,control,Desktop,0,0.0
471,2024-11-03 02:38:08,control,Mobile,0,0.0
472,2024-06-02 11:40:07,control,Mobile,0,0.0
473,2024-04-22 23:17:22,control,Desktop,0,0.0
474,2024-08-08 12:56:20,control,Desktop,0,0.0
475,2025-01-27 08:30:54,control,Tablet,0,0.0
476,2024-11-04 20:03:19,control,Tablet,0,0.0
477,2025-07-06 04:41:20,control,Desktop,0,0.0
478,2025-08-05 02:55:47,treatment,Desktop,0,0.0
479,2024-07-07 05:40:05,treatment,Mobile,0,0.0
480,2024-06-20 11:53:16,treatment,Desktop,0,0.0
